msa,approve_rate,n
10180,0.33695652173913043,92
10420,0.3093145869947276,569
10500,0.4,35
10540,0.16393442622950818,61
10580,0.2994652406417112,374
10740,0.29318181818181815,440
10780,0.325,40
10900,0.23407917383820998,581
11020,0.3076923076923077,52
11100,0.22580645161290322,93
11180,0.2916666666666667,48
11200,0.0,1
11244,0.1001410437235543,709
11260,0.1925925925925926,135
11460,0.24598930481283424,187
11500,0.3548387096774194,31
11540,0.2638888888888889,72
11694,0.0743801652892562,121
11700,0.3347457627118644,236
12020,0.2716049382716049,81
12054,0.132013201320132,303
12060,0.1893587994542974,3665
12100,0.32051282051282054,156
12220,0.3269230769230769,104
12260,0.2814814814814815,270
12420,0.19315623592976136,2221
12540,0.17847025495750707,353
12580,0.20565371024734982,1415
12620,0.23728813559322035,59
12700,0.22727272727272727,88
12940,0.2761904761904762,420
12980,0.2786885245901639,61
13020,0.2647058823529412,34
13140,0.20491803278688525,122
13220,0.14285714285714285,28
13380,0.23148148148148148,108
13460,0.20930232558139536,129
13740,0.2127659574468085,94
13780,0.31645569620253167,79
13820,0.27162629757785467,578
13900,0.23333333333333334,30
13980,0.2903225806451613,62
14010,0.4336283185840708,113
14020,0.35384615384615387,65
14100,0.23809523809523808,21
14260,0.2222222222222222,657
14454,0.10806451612903226,620
14500,0.16312056737588654,141
14540,0.28703703703703703,108
14580,0.0,7
14740,0.10619469026548672,113
14860,0.171875,384
15180,0.25210084033613445,119
15260,0.2777777777777778,54
15380,0.29640287769784174,695
15500,0.3116883116883117,77
15540,0.24271844660194175,103
15680,0.15789473684210525,38
15764,0.10606060606060606,792
15804,0.2109375,896
15940,0.34210526315789475,228
15980,0.2113323124042879,653
16020,0.42857142857142855,21
16060,0.30434782608695654,46
16180,0.2692307692307692,26
16220,0.3170731707317073,41
16300,0.33695652173913043,184
16540,0.32051282051282054,78
16580,0.36363636363636365,77
16620,0.2833333333333333,60
16700,0.22382671480144403,554
16740,0.21354166666666666,1920
16820,0.2971014492753623,138
16860,0.20175438596491227,342
16940,0.21621621621621623,37
16984,0.22715472481827623,3852
17020,0.23255813953488372,86
17140,0.2722478576137113,1517
17300,0.2975206611570248,121
17410,0.2222222222222222,72
17420,0.3114754098360656,61
17460,0.31312356101304684,1303
17660,0.25274725274725274,91
17780,0.35,160
17820,0.16957605985037408,401
17860,0.2857142857142857,91
17900,0.3053097345132743,452
17980,0.35353535353535354,99
18020,0.24528301886792453,53
18140,0.23091849935316947,1546
18580,0.2631578947368421,152
18700,0.3,30
18880,0.20606060606060606,165
19060,0.3,30
19124,0.1758162031438936,4135
19140,0.19230769230769232,52
19180,0.4166666666666667,12
19300,0.26359832635983266,239
19340,0.3442622950819672,183
19430,0.293598233995585,453
19460,0.29333333333333333,75
19500,0.36585365853658536,41
19660,0.24339622641509434,530
19740,0.15212319178721417,2143
19780,0.3177083333333333,384
19804,0.19494949494949496,990
20020,0.3469387755102041,49
20100,0.14953271028037382,107
20220,0.14634146341463414,41
20260,0.2975206611570248,121
20500,0.2612359550561798,356
20580,0.0,1
20700,0.27586206896551724,145
20740,0.23255813953488372,43
20940,0.21951219512195122,41
20994,0.2513863216266174,541
21060,0.32608695652173914,46
21140,0.25,96
21300,0.3448275862068966,29
21340,0.26591760299625467,267
21420,0.2777777777777778,18
21500,0.29245283018867924,106
21660,0.2080536912751678,149
21780,0.308411214953271,214
21794,0.056338028169014086,71
21820,0.391304347826087,23
22020,0.34146341463414637,123
22140,0.36666666666666664,30
22180,0.2534562211981567,217
22220,0.3002754820936639,363
22380,0.16901408450704225,71
22420,0.29015544041450775,193
22500,0.3111111111111111,45
22520,0.2833333333333333,60
22540,0.3142857142857143,35
22660,0.2009132420091324,219
22744,0.13583815028901733,1038
22900,0.32941176470588235,85
23060,0.3192982456140351,285
23104,0.17311021350259664,1733
23224,0.20554649265905384,613
23420,0.17272727272727273,440
23460,0.34146341463414637,41
